三星 Galaxy S8（SM-G9500）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,4999.00
机身颜色:谜夜黑
RAM:4GB
前置摄像头:800万像素
后置摄像头:1200万像素
电池容量（mAh）:3000
三星 Galaxy Note8（SM-N9500）6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,7388.00
机身颜色:谜夜黑
RAM:6GB
前置摄像头:800万像素
后置摄像头:双1200万像素
电池容量（mAh）:3300mAh
三星 Galaxy S8+（SM-G9550）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,5499.00
机身颜色:谜夜黑
RAM:4GB
前置摄像头:800万像素
后置摄像头:1200万像素
电池容量（mAh）:3500
三星 Galaxy C8（SM-C7100）3GB+32GB 枫叶金 移动联通电信4G手机 双卡双待,1649.00
机身颜色:枫叶金
RAM:3GB
前置摄像头:1600万像素
后置摄像头:500万像素；1300万像素
电池容量（mAh）:3000mAh
三星 大器III尊贵版（SM-G9092）名仕蓝 联通3G手机 双卡双待双通,2999.00
机身颜色:黑色
RAM:2GB
前置摄像头:200万像素
后置摄像头:1300万像素
"电池容量（mAh）:1,900mAh"
三星 W2016 3GB+64GB 金色 电信4G手机 双卡双待,9888.00
机身颜色:尊贵金
RAM:3GB
前置摄像头:500万像素
后置摄像头:1600万像素
电池容量（mAh）:2000
三星 Galaxy S9+（SM-G9650/DS）6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,6999.00
机身颜色:谜夜黑
RAM:6GB
前置摄像头:800万像素
后置摄像头:双1200万像素
电池容量（mAh）:3500
三星 Galaxy S9（SM-G9600/DS）4GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,6099.00
机身颜色:谜夜黑
RAM:4GB
前置摄像头:800万像素
后置摄像头:1200万像素
电池容量（mAh）:3000
三星 Galaxy S9（SM-G9600/DS）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,5799.00
机身颜色:谜夜黑
RAM:4GB
前置摄像头:800万像素
后置摄像头:1200万像素
电池容量（mAh）:3000
三星 Galaxy S9+（SM-G9650/DS）6GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,6699.00
机身颜色:谜夜黑
RAM:6GB
前置摄像头:800万像素
后置摄像头:双1200万像素
电池容量（mAh）:3500
三星 Galaxy C5（SM-C5000）4GB+64GB 枫叶金 移动联通电信4G手机 双卡双待,-1.00
机身颜色:枫叶金
RAM:4GB
前置摄像头:800万像素
后置摄像头:1600万像素
电池容量（mAh）:2600
三星 Galaxy J3（J3110）2GB+16GB 金色 移动联通双4G手机,-1.00
机身颜色:金色
RAM:2GB
前置摄像头:500万像素
后置摄像头:800万像素
"电池容量（mAh）:2,600mAh"
三星 Galaxy Note8（SM-N9500）6GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,6988.00
机身颜色:谜夜黑
RAM:6GB
前置摄像头:800万像素
后置摄像头:双1200万像素
电池容量（mAh）:3300mAh
三星Galaxy S8 4G+智版（SM-G9508）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,4999.00
机身颜色:谜夜黑
RAM:4GB
前置摄像头:800万像素
后置摄像头:1200万像素
电池容量（mAh）:3000
三星 Galaxy Note8（SM-N9500）6GB+256GB 谜夜黑 移动联通电信4G手机 双卡双待,7988.00
机身颜色:谜夜黑
RAM:6GB
前置摄像头:800万像素
后置摄像头:双1200万像素
电池容量（mAh）:3300mAh
三星 Galaxy S8+（SM-G9550）6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,6299.00
机身颜色:谜夜黑
RAM:6GB
前置摄像头:800万像素
后置摄像头:1200万像素
电池容量（mAh）:3500
三星 Galaxy Folder2 （SM-G1650）2GB+16GB 帕托金 移动联通电信4G翻盖手机 双卡双待,1799.00
机身颜色:帕托金
RAM:2GB
前置摄像头:500万像素
后置摄像头:500万像素；800万像素
电池容量（mAh）:1950
【春节礼盒版】三星 Galaxy S8（SM-G9500）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,4999.00
机身颜色:谜夜黑
RAM:4GB
前置摄像头:800万像素
后置摄像头:1200万像素
电池容量（mAh）:3000
